index,date,name,category,value
1,2020-01-01,Alabama,2,0.0
2,2020-01-01,Alaska,3,0.0
3,2020-01-01,Arizona,4,0.0
4,2020-01-01,Arkansas,5,0.0
5,2020-01-01,California,6,0.0
6,2020-01-01,Colorado,7,0.0
7,2020-01-01,Connecticut,8,0.0
8,2020-01-01,Delaware,9,0.0
9,2020-01-01,District of Columbia,0,0.0
10,2020-01-01,Florida,10,0.0
11,2020-01-01,Georgia,11,0.0
12,2020-01-01,Hawaii,12,0.0
13,2020-01-01,Idaho,13,0.0
14,2020-01-01,Illinois,14,0.0
15,2020-01-01,Indiana,15,0.0
16,2020-01-01,Iowa,16,0.0
17,2020-01-01,Kansas,17,0.0
18,2020-01-01,Kentucky,18,0.0
19,2020-01-01,Louisiana,19,0.0
20,2020-01-01,Maine,20,0.0
21,2020-01-01,Maryland,21,0.0
22,2020-01-01,Massachusetts,22,0.0
23,2020-01-01,Michigan,23,0.0
24,2020-01-01,Minnesota,24,0.0
25,2020-01-01,Mississippi,25,0.0
26,2020-01-01,Missouri,26,0.0
27,2020-01-01,Montana,27,0.0
28,2020-01-01,Nebraska,28,0.0
29,2020-01-01,Nevada,29,0.0
30,2020-01-01,New Hampshire,30,0.0
31,2020-01-01,New Jersey,31,0.0
32,2020-01-01,New Mexico,32,0.0
33,2020-01-01,New York,33,0.0
34,2020-01-01,New York City,1,0.0
35,2020-01-01,North Carolina,34,0.0
36,2020-01-01,North Dakota,35,0.0
37,2020-01-01,Ohio,36,0.0
38,2020-01-01,Oklahoma,37,0.0
39,2020-01-01,Oregon,38,0.0
40,2020-01-01,Pennsylvania,39,0.0
41,2020-01-01,Rhode Island,40,0.0
42,2020-01-01,South Carolina,41,0.0
43,2020-01-01,South Dakota,42,0.0
44,2020-01-01,Tennessee,43,0.0
45,2020-01-01,Texas,44,0.0
46,2020-01-01,Utah,45,0.0
47,2020-01-01,Vermont,46,0.0
48,2020-01-01,Virginia,47,0.0
49,2020-01-01,Washington,48,0.0
50,2020-01-01,West Virginia,49,0.0
51,2020-01-01,Wisconsin,50,0.0
52,2020-01-01,Wyoming,51,0.0
53,2020-02-01,Alabama,2,0.0
54,2020-02-01,Alaska,3,0.0
55,2020-02-01,Arizona,4,0.0
56,2020-02-01,Arkansas,5,0.0
57,2020-02-01,California,6,0.0
