,elements,hmin,hmin_mineral,hmax,hmax_mineral,hmean
0,H,0.5,Rectorite,9.0,Bahianite,
1,B,1.0,Barberiite,10.0,Qingsongite,
2,C,1.0,Acetamide,10.0,Diamond,
3,O,0.5,Rectorite,9.0,Bahianite,
4,F,1.0,Barberiite,8.0,Topaz,
5,Na,0.5,Rectorite,8.0,Diaoyudaoite,
6,Mg,1.0,Aliettite,9.0,Ferrotaaffeite-2N’2S,
7,Al,0.5,Rectorite,9.0,Bahianite,
8,Si,0.5,Rectorite,9.5,Moissanite,
9,P,1.0,Archerite,8.5,Melliniite,
10,S,1.0,Aluminite,7.5,Kashinite,
11,Cl,1.0,Bischofite,8.0,Trembathite,
12,K,1.0,Archerite,8.0,Rhodizite,
13,Ca,0.5,Rectorite,9.0,Lakargiite,
14,Ti,1.0,Ilmajokite-(Ce),9.5,Khamrabaevite,
15,V,1.0,Grantsite,10.0,Uakitite,
16,Mn,1.0,Bostwickite,8.0,Nsutite,
17,Fe,1.0,Coalingite,9.5,Khamrabaevite,
18,Ni,1.0,Haapalaite,8.5,Melliniite,
19,Cu,1.0,Aurichalcite,6.5,Abswurmbachite,
20,Zn,1.0,Aurichalcite,9.0,Ferronigerite-2N1S,
21,As,1.0,Christite,7.5,Platarsite,
22,Se,1.0,Laphamite,7.0,Trogtalite,
23,Ag,1.0,Dervillite,5.0,Chrisstanleyite,
24,Sb,1.0,Kermesite,9.0,Bahianite,
25,Ba,1.0,Ilmajokite-(Ce),7.5,Armenite,
26,Pb,1.0,Maricopaite,7.0,Cesplumtantite,
27,Bi,1.0,Paganoite,6.0,Bismutoferrite,
28,U,1.0,Iriginite,7.0,Dessauite-(Y),
