,elements,hmin,hmin_mineral,hmax,hmax_mineral,hmean
0,H,0.5,Rectorite,9.0,Bahianite,
1,Li,1.0,Hectorite,8.0,Pezzottaite,
2,Be,1.0,Beryllite,9.0,Bromellite,
3,B,1.0,Barberiite,10.0,Qingsongite,
4,C,1.0,Acetamide,10.0,Diamond,
5,N,1.0,Acetamide,10.0,Qingsongite,
6,O,0.5,Rectorite,9.0,Bahianite,
7,F,1.0,Barberiite,8.0,Topaz,
8,Na,0.5,Rectorite,8.0,Diaoyudaoite,
9,Mg,1.0,Aliettite,9.0,Ferrotaaffeite-2N’2S,
10,Al,0.5,Rectorite,9.0,Bahianite,
11,Si,0.5,Rectorite,9.5,Moissanite,
12,P,1.0,Archerite,8.5,Melliniite,
13,S,1.0,Aluminite,7.5,Kashinite,
14,Cl,1.0,Bischofite,8.0,Trembathite,
15,K,1.0,Archerite,8.0,Rhodizite,
16,Ca,0.5,Rectorite,9.0,Lakargiite,
17,Sc,1.0,Kampelite,7.0,Bazzite,
18,Ti,1.0,Ilmajokite-(Ce),9.5,Khamrabaevite,
19,V,1.0,Grantsite,10.0,Uakitite,
20,Cr,1.0,Volkonskoite,9.0,Chromium,
21,Mn,1.0,Bostwickite,8.0,Nsutite,
22,Fe,1.0,Coalingite,9.5,Khamrabaevite,
23,Co,1.5,Erythrite,7.0,Cochromite,
24,Ni,1.0,Haapalaite,8.5,Melliniite,
25,Cu,1.0,Aurichalcite,6.5,Abswurmbachite,
26,Zn,1.0,Aurichalcite,9.0,Ferronigerite-2N1S,
27,Ga,1.0,Tsumgallite,6.5,Krieselite,
28,Ge,2.0,Mathewrogersite,7.0,Argutite,
29,As,1.0,Christite,7.5,Platarsite,
30,Se,1.0,Laphamite,7.0,Trogtalite,
31,Br,1.0,Ermakovite,4.0,Murdochite,
32,Rb,2.5,Masutomilite,8.0,Londonite,
33,Sr,1.0,Putnisite,8.5,Saranovskite,
34,Y,1.0,Moydite-(Y),7.5,Priscillagrewite-(Y),
35,Zr,2.5,Zircosulfate,9.0,Lakargiite,
36,Nb,1.0,Ekplexite,8.0,Schiavinatoite,
37,Mo,1.0,Ferrimolybdite,6.0,Tarkianite,
38,Ru,5.0,Iridarsenite,7.5,Laurite,
39,Rh,3.5,Rhodium,7.0,Bowieite,
40,Pd,1.5,Vysotskite,6.5,Hollingworthite,
41,Ag,1.0,Dervillite,5.0,Chrisstanleyite,
42,Cd,1.0,Cadmium,4.5,Barquillite,
43,In,2.0,Ramdohrite,6.0,Yixunite,
44,Sn,1.0,Berndtite,9.0,Ferronigerite-2N1S,
45,Sb,1.0,Kermesite,9.0,Bahianite,
46,Te,1.0,Melonite,6.0,Yafsoanite,
47,I,1.0,Moschelite,4.0,Bellingerite,
48,Cs,2.0,Nanpingite,8.0,Rhodizite,
49,Ba,1.0,Ilmajokite-(Ce),7.5,Armenite,
50,La,2.0,Astrocyanite-(Ce),7.0,Gadolinite-(Ce),
51,Ce,1.0,Ilmajokite-(Ce),7.0,Dissakisite-(Ce),
52,Nd,1.0,Hydroxylbastnäsite-(Nd),7.0,Gadolinite-(Ce),
53,Sm,2.5,Shabaite-(Nd),6.0,Florencite-(Sm),
54,Gd,3.0,Schuilingite-(Nd),4.0,Mineevite-(Y),
55,Dy,4.0,Mineevite-(Y),4.0,Mineevite-(Y),
56,Er,4.5,Caysichite-(Y),4.5,Caysichite-(Y),
57,Yb,4.0,Keiviite-(Yb),7.0,Hingganite-(Yb),
58,Hf,7.5,Hafnon,7.5,Hafnon,
59,Ta,2.5,Kimrobinsonite,8.5,Holtite,
60,W,1.0,Anthoinite,6.0,Baotite,
61,Re,5.5,Tarkianite,6.0,Tarkianite,
62,Os,4.5,Erlichmanite,7.0,Anduoite,
63,Ir,3.0,Gaotaiite,7.5,Kashinite,
64,Pt,2.0,Moncheite,7.5,Platarsite,
65,Au,1.0,Nagyágite,5.0,Pampaloite,
66,Hg,1.0,Christite,5.0,Atheneite,
67,Tl,1.0,Christite,4.0,Cuprostibite,
68,Pb,1.0,Maricopaite,7.0,Cesplumtantite,
69,Bi,1.0,Paganoite,6.0,Bismutoferrite,
70,Th,2.0,Karnasurtite-(Ce),7.0,Thorianite,
71,U,1.0,Iriginite,7.0,Dessauite-(Y),
