id,name,elements,sigelements,yeardiscovery,hmin,hmax,hardtype,specificgravity,strunz10ed1,strunz10ed2,strunz10ed3,strunz10ed4,dana8ed1,dana8ed2,dana8ed3,dana8ed4
1,Abelsonite,-Ni-N-C-H-,-Ni-N-C-H-,1975,2.0,3.0,0,1.4,10,C,A,20,50,4,9,1
2,Abenakiite-(Ce),-Ce-Na-Si-O-P-C-S-,-Ce-Na-Si-O-P-C-S-,,4.0,5.0,0,3.21,9,C,K,10,61,4,1,1
3,Abernathyite,-As-O-K-H-U-,-As-O-K-H-U-,1956,2.5,3.0,0,,8,E,B,15,40,2a,9,1
4,Abhurite,-Cl-Sn-O-H-,-Cl-Sn-O-H-,1983,2.0,2.0,3,4.29,3,D,A,30,10,5,9,1
9,Abswurmbachite,-Cu-Mn-Si-O-,-Cu-Mn-Si-O-,1990,6.5,6.5,0,,9,A,G,05,7,5,1,4
10,Acanthite,-Ag-S-,-Ag-S-,1855,2.0,2.5,3,7.24 (calc)  7.2-7.4(meas),2,B,A,35,2,4,1,1
13,Acetamide,-N-O-C-H-,-N-O-C-H-,1974,1.0,1.5,0,1-1.17,10,A,A,20,50,4,7,1
14,Achávalite,-Fe-Se-,-Fe-Se-,1939,2.5,2.5,0,6.53,2,C,C,05,0,0,0,0
18,Actinolite,-Ca-Fe-Mg-Si-O-H-,-Ca-Fe-Mg-Si-O-H-,,5.0,6.0,3,3.03-3.24(meas.); 3.07(calc.),9,D,E,10,0,0,0,0
19,Acuminite,-Al-Sr-O-F-H-,-Al-Sr-O-F-H-,,3.5,3.5,0,3.29,3,C,C,10,11,6,17,1
21,Adamite,-As-Zn-O-H-,-As-Zn-O-H-,1866,3.5,3.5,3,4.45(calc) 4.32 - 4.48(meas),8,B,B,30,41,6,6,3
23,Adelite,-As-Ca-Mg-O-H-,-As-Ca-Mg-O-H-,1887,5.0,5.0,0,3.73,8,B,H,35,41,5,1,1
27,Admontite,-Mg-B-O-H-,-Mg-B-O-H-,1978,2.0,3.0,0,1.82,6,F,A,15,26,6,3,1
31,Aegirine,-Fe-Na-Si-O-,-Fe-Na-Si-O-,1821,6.0,6.0,0,3.5,9,D,A,25,65,1,3c,2
32,Aegirine-augite,-Al-Ca-Fe-Mg-Na-Si-O-,-Al-Ca-Fe-Mg-Na-Si-O-,1892,6.0,6.0,0,,9,D,A,20,65,1,3b,2
33,Aenigmatite,-Fe-Na-Si-Ti-O-,-Fe-Na-Si-Ti-O-,1865,5.5,6.0,0,3.8,9,D,H,40,69,2,1a,1
34,Aerinite,-Al-Ca-Fe-Mg-Na-Si-O-C-H-,-Al-Ca-Fe-Na-Si-O-C-H-,1876,3.0,3.0,0,2.48,9,D,B,45,68,1,3,1
36,Aerugite,-As-Ni-O-,-As-Ni-O-,1858,4.0,4.0,0,,8,B,C,15,41,3,11, 
37,Aeschynite-(Ce),-Ca-Ce-Fe-Nb-Th-Ti-O-H-,-Ce-Ti-O-,,5.0,6.0,0,4.96,4,D,F,05,8,3,6,1
38,Aeschynite-(Nd),-Ca-Nb-Nd-Ti-O-H-,-Nd-Ti-O-,,5.0,6.0,0,4.8,4,D,F,05,8,3,6,5
39,Aeschynite-(Y),-Ca-Nb-Th-Ti-O-H-Y-,-Ti-O-Y-,,5.0,6.0,0,4.95,4,D,F,05,8,3,6,3
41,Afghanite,-Al-Ca-Cl-Na-Si-O-K-S-,-Al-Ca-Cl-Na-Si-O-S-,1964,5.5,6.0,3,2.55,9,F,B,05,76,2,5,1
42,Afwillite,-Ca-Si-O-H-,-Ca-Si-O-H-,1925,3.0,4.0,0,2.630,9,A,G,75,52,4,7,1
43,Agardite-(Nd),-As-Cu-Nd-O-H-,-As-Cu-Nd-O-H-,,3.0,4.0,0,,8,D,L,15,0,0,0,0
44,Agardite-(Y),-As-Cu-O-H-Y-,-As-Cu-O-H-Y-,1968,3.0,4.0,0,3.66 (calc.),8,D,L,15,42,5,1,2
48,Agardite-(Ce),-As-Ce-Cu-O-H-,-As-Ce-Cu-O-H-,,3.0,4.0,3,,8,D,L,15,0,0,0,0
50,Agardite-(La),-As-Cu-La-O-H-,-As-Cu-La-O-H-,1980,3.0,4.0,0,,8,D,L,15,0,0,0,0
57,Agrellite,-Ca-Na-Si-O-F-,-Ca-Na-Si-O-F-,,5.5,5.5,0,2.902,9,D,H,75,70,1,1,4
58,Agrinierite,-Ca-Sr-O-K-H-U-,-Ca-O-K-H-U-,,0.0,0.0,0,5.7,4,G,B,05,5,5,1,1
59,Aguilarite,-Ag-Se-S-,-Ag-Se-S-,1891,2.5,2.5,0,7.586,2,B,A,55,2,4,1,3
60,Aheylite,-Al-Fe-Zn-O-P-H-,-Al-Fe-O-P-H-,1984,5.0,5.5,0,2.85,8,D,D,15,42,9,3,5
61,Ahlfeldite,-Ni-Se-O-H-,-Ni-Se-O-H-,1935,2.0,2.5,0,3.37,4,J,H,10,34,2,3,3
63,Aikinite,-Bi-Cu-Pb-S-,-Bi-Cu-Pb-S-,1843,2.0,2.5,0,7.19(calc.) 7.07(meas.),2,H,B,05a,3,4,5,1
66,Ajoite,-Al-Cu-Na-Si-O-K-H-,-Al-Cu-Si-O-K-H-,1958,0.0,0.0,0,2.96,9,E,A,70,78,5,1,1
67,Akaganeite,-Cl-Fe-Ni-O-H-,-Cl-Fe-O-H-,,0.0,0.0,0,3.0,4,D,K,05,6,1,6,1
68,Akatoreite,-Al-Mn-Si-O-H-,-Al-Mn-Si-O-H-,1969,6.0,6.0,0,3.48,9,B,H,15,57,2,3,1
69,Akdalaite,-Al-O-H-,-Al-O-H-,,7.0,7.5,0,3.68,4,F,L,70,4,3,2,1
70,Åkermanite,-Ca-Mg-Si-O-,-Ca-Mg-Si-O-,,5.0,6.0,0,2.944,9,B,B,10,55,4,1,1
71,Akhtenskite,-Mn-O-,-Mn-O-,,0.0,0.0,0,4.00,4,D,B,15b,4,4,10,1
72,Akrochordite,-As-Mg-Mn-O-H-,-As-Mn-O-H-,1915,3.5,3.5,0,3.2,8,D,D,10,42,4,1,1
73,Aksaite,-Mg-B-O-H-,-Mg-B-O-H-,1962,2.5,2.5,0,1.99,6,F,A,05,26,6,4,1
74,Aktashite,-As-Cu-Hg-S-,-As-Cu-Hg-S-,1968,3.5,3.5,0,,2,G,A,30,3,4,13,2
87,Aluminocopiapite,-Al-Fe-O-S-H-,-Al-Fe-O-S-H-,1947,2.0,3.0,0,2.07(calc),7,D,B,35,31,10,5,7
89,Alabandite,-Mn-S-,-Mn-S-,1832,3.5,4.0,0,4.05,2,C,D,10,2,8,1,4
91,Alacránite,-As-S-,-As-S-,1985,1.5,1.5,0,3.43,2,F,A,20,2,8,22,
93,Alamosite,-Pb-Si-O-,-Pb-Si-O-,1909,4.5,4.5,0,6.5,9,D,O,20,65,7,1,1
94,Alarsite,-Al-As-O-,-Al-As-O-,,5.0,5.5,0,3.32,8,A,A,05,0,0,0,0
96,Albite,-Al-Na-Si-O-,-Al-Na-Si-O-,1815,6.0,6.5,0,2.63,9,F,A,35,76,1,3,1
97,Albrechtschraufite,-Ca-Mg-O-C-F-H-U-,-Ca-Mg-O-C-F-H-U-,1983,2.0,3.0,0,2.6,5,E,D,15,16b,7,11,1
104,Aldermanite,-Al-Mg-Na-O-P-F-H-,-Al-Mg-Na-O-P-H-,,2.0,2.0,0,,8,D,M,35,42,13,1,1
106,Ferro-taramite,-Al-Ca-Fe-Na-Si-O-H-,-Al-Ca-Fe-Na-Si-O-H-,,0.0,0.0,0,,9,D,E,20,0,0,0,0
107,Aluminium,-Al-,-Al-,1978,2.0,3.5,0,2.707,1,A,A,05,1,1,1,5
108,Aleksite,-Bi-Pb-Te-S-,-Bi-Pb-Te-S-,1978,2.5,2.5,0,,2,G,C,40a,2,6,3,2
112,Alforsite,-Ba-Cl-O-P-,-Ba-Cl-O-P-,1980,5.0,5.0,0,,8,B,N,05,41,8,5,2
114,Algodonite,-As-Cu-,-As-Cu-,1857,4.0,4.0,0,8.38,2,A,A,10a,2,1,1,1
115,Aliettite,-Al-Ca-Mg-Si-O-H-,-Ca-Mg-Si-O-H-,1968,1.0,2.0,0,,9,E,C,60,71,4,2,8
122,Allactite,-As-Mn-O-H-,-As-Mn-O-H-,1884,4.5,4.5,0,3.83,8,B,E,30,41,2,1,1
125,Allanite-(Ce),-Al-Ca-Ce-Fe-Si-O-H-,-Al-Ca-Ce-Fe-Si-O-H-,,5.5,6.0,0,4.0,9,B,G,05b,58,2,1a,1
126,Allanite-(La),-Al-Ca-Fe-La-Si-O-H-,-Al-Ca-Fe-La-Si-O-H-,,6.0,6.0,0,,9,B,G,05b,58,2,1a,2
127,Allanite-(Y),-Al-Ca-Fe-Si-O-H-Y-,-Al-Ca-Fe-Si-O-H-Y-,1949,5.5,6.5,0,,9,B,G,05b,58,2,1a,3
128,Allargentum,-Ag-Sb-,-Ag-Sb-,1950,3.5,3.5,0,10.0,2,A,A,30,2,2,1,2
129,Alleghanyite,-Mn-Si-O-H-,-Mn-Si-O-H-,1932,5.5,5.5,0,4.0,9,A,F,45,52,3,2b,1
134,Alloclasite,-As-Co-Fe-S-,-As-Co-Fe-S-,1866,5.0,5.0,0,5.95,2,E,B,10b,2,12,6,2
139,Allophane,-Al-Si-O-H-,-Al-Si-O-H-,1816,3.0,3.0,0,1.8-2.78(meas.),9,E,D,20,71,1,5,1
141,Alluaivite,-Ca-Cl-Mn-Na-Nb-Si-Ti-O-H-,-Ca-Cl-Na-Si-Ti-O-H-,1990,5.0,6.0,0,2.76,9,C,O,10,64,1b,1,1
142,Alluaudite,-Ca-Fe-Mg-Mn-Na-O-P-,-Fe-Mn-Na-O-P-,1848,5.5,6.0,0,1.9,8,A,C,10,38,2,3,6
146,Alstonite,-Ba-Ca-O-C-,-Ba-Ca-O-C-,1841,4.0,4.5,0,,5,A,B,35,14,2,5,1
147,Altaite,-Pb-Te-,-Pb-Te-,1845,2.0,3.0,0,8.27,2,C,D,10,2,8,1,3
148,Althausite,-Mg-O-P-F-H-,-Mg-O-P-F-H-,1971,3.5,4.0,0,,8,B,B,25,41,6,5,1
149,Althupite,-Al-Th-O-P-H-U-,-Al-Th-O-P-H-U-,1986,3.5,4.0,0,,8,E,C,25,42,4,13,1
150,Altisite,-Al-Cl-Na-Si-Ti-O-K-,-Al-Cl-Na-Si-Ti-O-K-,1994,6.0,6.0,0,2.64,9,D,P,40,74,3,3,1
154,Aluminite,-Al-O-S-H-,-Al-O-S-H-,1807,1.0,2.0,3,1.6,7,D,C,05,31,7,4,1
157,Alumohydrocalcite,-Al-Ca-O-C-H-,-Al-Ca-O-C-H-,1926,2.5,2.5,0,,5,D,B,05,16b,2,3,1
158,Pharmacoalumite,-Al-As-O-K-H-,-Al-As-O-K-H-,1980,2.5,2.5,0,,8,D,K,12,42,8,1b,1
159,Alumotantite,-Al-Ta-O-,-Al-Ta-O-,1981,7.5,7.5,0,,4,D,B,55,8,1,7,1
161,Alunite,-Al-O-K-S-H-,-Al-O-K-S-H-,1824,3.5,4.0,3,,7,B,C,10,30,2,4,1
162,Alunogen,-Al-O-S-H-,-Al-O-S-H-,,1.5,2.0,0,1.79(calc.),7,C,B,45,29,8,6,1
165,Alvanite,-Al-Zn-O-H-V-,-Al-Zn-O-H-V-,1959,3.0,3.5,0,,8,F,E,05,42,13,13,1
180,Amakinite,-Fe-O-H-,-Fe-O-H-,1962,3.5,4.0,0,,4,F,E,05,6,2,1,2
182,Amarantite,-Fe-O-S-H-,-Fe-O-S-H-,1888,2.5,2.5,0,,7,D,B,30,31,9,3,1
183,Amarillite,-Fe-Na-O-S-H-,-Fe-Na-O-S-H-,1933,2.5,3.0,0,,7,C,C,75,29,5,3,2
189,Amblygonite,-Al-Li-O-P-F-,-Al-Li-O-P-F-,1817,5.5,6.0,0,3.11,8,B,B,05,41,5,8,1
195,Ameghinite,-Na-B-O-H-,-Na-B-O-H-,1966,2.0,3.0,0,,6,C,A,10,25,3,1,1
197,Amesite,-Al-Mg-Si-O-H-,-Al-Mg-Si-O-H-,,2.5,3.0,0,,9,E,D,15,71,1,2c,1
199,Amicite,-Al-Na-Si-O-K-H-,-Al-Na-Si-O-K-H-,1979,4.5,4.5,0,,9,G,C,05,77,1,3,2
200,Aminoffite,-Al-Be-Ca-Si-O-H-,-Be-Ca-Si-O-H-,1937,5.5,6.0,0,,9,B,H,05,57,1,1,1
203,Ammonioalunite,-Al-N-O-S-H-,-Al-N-O-S-H-,1988,2.0,3.0,0,,7,B,C,10,30,2,4,6
204,Ammonioborite,-N-B-O-H-,-N-B-O-H-,1931,0.0,0.0,0,,6,E,A,15,26,5,3,1
205,Ammoniojarosite,-Fe-N-O-S-H-,-Fe-N-O-S-H-,1927,3.5,4.5,0,,7,B,C,10,30,2,5,4
206,Ammonioleucite,-Al-Si-N-O-H-,-Al-Si-N-O-H-,1986,5.5,6.0,0,,9,G,B,05,76,2,2,2
208,Amstallite,-Al-Ca-Cl-Si-O-H-,-Al-Ca-O-H-,1987,3.0,5.0,0,,9,D,P,25,72,1,4,1
210,Analcime,-Al-Na-Si-O-H-,-Al-Na-Si-O-H-,,5.0,5.5,0,2.27,9,G,B,05,77,1,1,1
211,Anapaite,-Ca-Fe-O-P-H-,-Ca-Fe-O-P-H-,1902,3.5,3.5,0,2.816,8,C,H,10,40,2,1,1
213,Anatase,-Ti-O-,-Ti-O-,1801,5.5,6.0,3,3.89(calc.) 3.90(meas.),4,D,D,05,4,4,4,1
