Data As Of,Start Date,End Date,Group,Year,Month,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,1544.0,1617.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,5758.0,5980.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,14996.0,15613.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,37250.0,38709.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,82183.0,85195.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,127923.0,131943.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,136704.0,140005.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,119049.0,120888.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,12.0,12.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,525419.0,539962.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,201.0,206.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,455.0,461.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,1100.0,1125.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,3244.0,3353.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,12557.0,13189.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,27341.0,28752.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,35140.0,36768.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,27058.0,27957.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1.0,1.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,107097.0,111812.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,478.0,478.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,1799.0,1799.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,4714.0,4714.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,11446.0,11446.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,22853.0,22853.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,29972.0,29972.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,22648.0,22648.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,12162.0,12162.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,1.0,1.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,All Ages,106073.0,106073.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,0-24,1026.0,1073.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,25-34,4020.0,4096.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,35-44,10823.0,11017.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,45-54,28105.0,28608.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,55-64,65591.0,67336.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,65-74,107050.0,110903.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,75-84,117068.0,121698.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,85+,96982.0,99984.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,Not stated,6.0,6.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory failure,J96,All Ages,430671.0,444721.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,0-24,81.0,81.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,25-34,230.0,230.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,35-44,540.0,540.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,45-54,1278.0,1278.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,55-64,2985.0,2985.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,65-74,4881.0,4881.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,75-84,6102.0,6102.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,85+,6958.0,6958.0,
04/30/2023,01/01/2020,04/29/2023,By Total,,,United States,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0.0,0.0,
