Data As Of,Start Date,End Date,Group,Year,Month,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,1544,1617,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,5758,5980,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,14996,15613,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,37250,38709,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,82183,85195,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,127923,131943,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,136704,140005,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,119049,120888,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,12,12,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Influenza and pneumonia,J09-J18,All Ages,525419,539962,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,201,206,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,455,461,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,1100,1125,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,3244,3353,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,12557,13189,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,27341,28752,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,35140,36768,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,27058,27957,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,1,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All Ages,107097,111812,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,478,478,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,1799,1799,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,4714,4714,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,11446,11446,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,22853,22853,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,29972,29972,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,22648,22648,
4/30/2023,1/1/2020,4/29/2023,By Total,,,United States,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,12162,12162,
