Rank,Pokemon,Usage%,Raw,Raw%,Real,Real%
1,Flutter Mane,54.58631%,1454951,38.720%,729736,42.412%
2,Iron Bundle,40.84968%,1165153,31.007%,561782,32.651%
3,Iron Hands,32.44834%,1145260,30.478%,617069,35.864%
4,Great Tusk,27.77780%,673071,17.912%,364773,21.201%
5,Amoonguss,26.32318%,983437,26.172%,371485,21.591%
6,Arcanine,24.28758%,930540,24.764%,433178,25.176%
7,Gholdengo,22.01344%,663711,17.663%,299077,17.382%
8,Roaring Moon,18.51271%,642275,17.092%,268052,15.579%
9,Kingambit,17.35522%,556369,14.806%,238494,13.861%
10,Dragonite,17.01578%,396729,10.558%,160427,9.324%
11,Dondozo,16.24723%,315148,8.387%,166119,9.655%
12,Armarouge,15.94583%,524411,13.956%,262358,15.248%
13,Indeedee-F,15.84830%,532736,14.177%,235561,13.691%
14,Tatsugiri,15.76185%,313274,8.337%,176483,10.257%
15,Maushold,15.75912%,452690,12.047%,186586,10.844%
16,Talonflame,15.64709%,476666,12.685%,138081,8.025%
17,Brute Bonnet,14.00907%,374798,9.974%,156833,9.115%
18,Tyranitar,12.26650%,314751,8.376%,149872,8.711%
19,Annihilape,12.21169%,514816,13.700%,252072,14.650%
20,Palafin,11.85690%,416057,11.072%,235410,13.682%
21,Torkoal,11.63629%,407644,10.848%,214786,12.483%
22,Iron Moth,8.27667%,283950,7.557%,131091,7.619%
23,Gothitelle,8.14674%,239576,6.376%,104956,6.100%
24,Volcarona,7.58740%,252924,6.731%,109744,6.378%
25,Garganacl,7.54980%,399054,10.620%,187090,10.874%
26,Sylveon,7.50374%,271465,7.224%,132527,7.702%
27,Murkrow,6.83385%,288287,7.672%,88010,5.115%
28,Grimmsnarl,6.63662%,348837,9.283%,132519,7.702%
29,Baxcalibur,5.46495%,253415,6.744%,113735,6.610%
30,Sandy Shocks,4.70911%,205073,5.457%,107978,6.276%
31,Gastrodon,4.70322%,304659,8.108%,146777,8.531%
32,Pelipper,4.60000%,229853,6.117%,106853,6.210%
33,Garchomp,4.55890%,255337,6.795%,129202,7.509%
34,Glimmora,4.39781%,145760,3.879%,66483,3.864%
35,Mimikyu,4.19536%,162555,4.326%,68528,3.983%
36,Meowscarada,3.86684%,310194,8.255%,139180,8.089%
37,Ceruledge,3.82264%,144232,3.838%,72016,4.186%
38,Scream Tail,3.73217%,188580,5.019%,83162,4.833%
39,Hatterene,3.07866%,114335,3.043%,49069,2.852%
40,Farigiraf,3.02978%,183101,4.873%,60543,3.519%
41,Corviknight,2.82655%,129797,3.454%,51544,2.996%
42,Scizor,2.76914%,174242,4.637%,76749,4.461%
43,Abomasnow,2.45666%,119123,3.170%,54690,3.179%
44,Rotom-Wash,2.40281%,118888,3.164%,57301,3.330%
45,Iron Jugulis,2.36152%,97797,2.603%,39103,2.273%
46,Lycanroc,1.97738%,52024,1.384%,22868,1.329%
47,Hydreigon,1.89839%,194930,5.188%,83692,4.864%
48,Azumarill,1.71975%,73314,1.951%,35530,2.065%
49,Pawmot,1.71532%,71367,1.899%,32758,1.904%
50,Espathra,1.54563%,89109,2.371%,42589,2.475%
51,Gyarados,1.51247%,74183,1.974%,35171,2.044%
52,Salamence,1.30572%,56430,1.502%,24942,1.450%
53,Dragapult,1.27430%,127654,3.397%,60320,3.506%
54,Oranguru,1.21064%,72688,1.934%,31356,1.822%
55,Sableye,1.12214%,88178,2.347%,34542,2.008%
56,Skeledirge,1.12070%,126635,3.370%,58917,3.424%
57,Iron Valiant,1.10917%,118333,3.149%,57035,3.315%
58,Tauros-Paldea-Aqua,1.02017%,75834,2.018%,36219,2.105%
59,Iron Treads,0.99632%,57146,1.521%,28565,1.660%
60,Gardevoir,0.97418%,49226,1.310%,19123,1.111%
61,Lilligant,0.94738%,44915,1.195%,15931,0.926%
62,Gallade,0.91976%,56920,1.515%,29242,1.700%
63,Houndstone,0.91268%,48941,1.302%,25928,1.507%
64,Vivillon,0.86249%,17025,0.453%,6555,0.381%
65,Hariyama,0.84431%,46014,1.225%,21185,1.231%
66,Klefki,0.83992%,40324,1.073%,13234,0.769%
67,Tinkaton,0.81684%,87424,2.327%,36935,2.147%
68,Rotom-Heat,0.71451%,43063,1.146%,20963,1.218%
69,Tauros-Paldea-Blaze,0.70609%,56864,1.513%,27649,1.607%
70,Flamigo,0.64009%,70361,1.872%,39495,2.295%
71,Arboliva,0.61671%,74349,1.979%,32195,1.871%
72,Slither Wing,0.61369%,62129,1.653%,30267,1.759%
73,Umbreon,0.58156%,37589,1.000%,12933,0.752%
74,Florges,0.56072%,22675,0.603%,10561,0.614%
75,Kilowattrel,0.50753%,85222,2.268%,33769,1.963%
76,Stonjourner,0.45789%,23397,0.623%,9768,0.568%
77,Breloom,0.43345%,58101,1.546%,26528,1.542%
78,Cetitan,0.42949%,41875,1.114%,18756,1.090%
79,Staraptor,0.42066%,16897,0.450%,7640,0.444%
80,Bellibolt,0.41798%,27000,0.719%,12783,0.743%
81,Bronzong,0.41786%,32444,0.863%,10698,0.622%
82,Mudsdale,0.39987%,25425,0.677%,12657,0.736%
83,Pincurchin,0.39631%,46112,1.227%,19847,1.154%
84,Drifblim,0.34968%,26152,0.696%,10672,0.620%
85,Dachsbun,0.34339%,16862,0.449%,8429,0.490%
86,Iron Thorns,0.33685%,48173,1.282%,24854,1.445%
87,Jumpluff,0.32518%,22181,0.590%,8676,0.504%
88,Indeedee,0.30709%,14716,0.392%,6406,0.372%
89,Zoroark,0.28454%,21987,0.585%,8898,0.517%
90,Coalossal,0.28037%,22331,0.594%,10087,0.586%
91,Orthworm,0.27485%,34222,0.911%,17079,0.993%
92,Quaquaval,0.26813%,41033,1.092%,19701,1.145%
93,Gengar,0.25787%,42012,1.118%,16475,0.958%
94,Vaporeon,0.25103%,27390,0.729%,11429,0.664%
95,Floatzel,0.25015%,17912,0.477%,9213,0.535%
96,Hippowdon,0.24696%,10827,0.288%,5322,0.309%
97,Tsareena,0.24070%,32422,0.863%,11843,0.688%
98,Drednaw,0.21496%,21427,0.570%,11232,0.653%
99,Barraskewda,0.20987%,21703,0.578%,9952,0.578%
100,Magnezone,0.20912%,27771,0.739%,13138,0.764%
101,Luxray,0.18636%,9430,0.251%,4560,0.265%
102,Slowking,0.17435%,23110,0.615%,9940,0.578%
103,Grafaiai,0.17357%,38549,1.026%,16361,0.951%
104,Hawlucha,0.16364%,12455,0.331%,5748,0.334%
105,Greedent,0.16037%,4866,0.129%,2052,0.119%
106,Brambleghast,0.15640%,24990,0.665%,12849,0.747%
107,Toedscruel,0.13244%,29423,0.783%,11681,0.679%
108,Toxtricity,0.12744%,25871,0.688%,13551,0.788%
109,Toxapex,0.11904%,19732,0.525%,8501,0.494%
110,Lucario,0.11524%,23051,0.613%,9509,0.553%
111,Scovillain,0.11485%,24830,0.661%,11726,0.682%
112,Medicham,0.11366%,19036,0.507%,8918,0.518%
113,Rotom-Mow,0.10994%,15875,0.422%,6459,0.375%
114,Clodsire,0.10859%,30514,0.812%,11939,0.694%
115,Pachirisu,0.10764%,16219,0.432%,6621,0.385%
116,Tropius,0.10541%,9592,0.255%,4240,0.246%
117,Raichu,0.10042%,30908,0.823%,13345,0.776%
118,Clawitzer,0.09955%,14497,0.386%,7165,0.416%
119,Rabsca,0.09878%,21142,0.563%,8619,0.501%
120,Bisharp,0.09640%,14128,0.376%,5984,0.348%
121,Eelektross,0.09380%,11600,0.309%,5547,0.322%
122,Salazzle,0.09040%,16818,0.448%,7560,0.439%
123,Slowbro,0.08970%,13784,0.367%,5143,0.299%
124,Goodra,0.08894%,25137,0.669%,12608,0.733%
125,Frosmoth,0.08706%,15017,0.400%,6030,0.350%
126,Misdreavus,0.08665%,4538,0.121%,1549,0.090%
127,Jolteon,0.08639%,16278,0.433%,7153,0.416%
128,Blissey,0.08588%,5658,0.151%,2304,0.134%
129,Dudunsparce,0.08565%,21582,0.574%,9088,0.528%
130,Glaceon,0.08355%,13713,0.365%,7397,0.430%
131,Krookodile,0.08220%,24137,0.642%,11999,0.697%
132,Braviary,0.08088%,8654,0.230%,3428,0.199%
133,Dragalge,0.07616%,14546,0.387%,6178,0.359%
134,Spiritomb,0.06972%,15723,0.418%,5665,0.329%
135,Cloyster,0.06968%,8240,0.219%,3851,0.224%
136,Leafeon,0.06811%,6216,0.165%,2592,0.151%
137,Houndoom,0.06682%,10450,0.278%,4111,0.239%
138,Pyroar,0.06652%,3373,0.090%,1528,0.089%
139,Muk,0.06453%,6855,0.182%,2739,0.159%
140,Avalugg,0.06088%,7840,0.209%,3528,0.205%
141,Rotom-Fan,0.05989%,2258,0.060%,1100,0.064%
142,Cyclizar,0.05843%,16218,0.432%,8325,0.484%
143,Toxicroak,0.05728%,8679,0.231%,4169,0.242%
144,Revavroom,0.05517%,10003,0.266%,3895,0.226%
145,Honchkrow,0.05497%,5713,0.152%,2594,0.151%
146,Slaking,0.05431%,22288,0.593%,10352,0.602%
147,Cryogonal,0.05425%,7580,0.202%,3106,0.181%
148,Electrode,0.05334%,11301,0.301%,3831,0.223%
149,Camerupt,0.05282%,6812,0.181%,3363,0.195%
150,Altaria,0.04634%,10415,0.277%,3440,0.200%
151,Lumineon,0.04610%,7717,0.205%,2755,0.160%
152,Crabominable,0.04517%,6546,0.174%,3313,0.193%
153,Chansey,0.04377%,4603,0.122%,1836,0.107%
154,Ditto,0.04060%,11222,0.299%,5117,0.297%
155,Gogoat,0.04023%,5840,0.155%,2548,0.148%
156,Morgrem,0.03827%,489,0.013%,280,0.016%
157,Lycanroc-Dusk,0.03702%,7668,0.204%,3537,0.206%
158,Grumpig,0.03699%,1459,0.039%,471,0.027%
