from,to,weight
Flutter Mane,Iron Bundle,37.840%
Flutter Mane,Great Tusk,29.509%
Flutter Mane,Iron Hands,27.440%
Iron Bundle,Flutter Mane,50.717%
Iron Bundle,Great Tusk,41.247%
Iron Bundle,Iron Hands,26.978%
Iron Hands,Flutter Mane,46.483%
Iron Hands,Amoonguss,39.995%
Iron Hands,Iron Bundle,34.096%
Great Tusk,Iron Bundle,60.377%
Great Tusk,Flutter Mane,57.895%
Great Tusk,Talonflame,36.742%
Amoonguss,Iron Hands,49.350%
Amoonguss,Flutter Mane,49.113%
Amoonguss,Arcanine,41.798%
Arcanine,Flutter Mane,54.049%
Arcanine,Amoonguss,45.322%
Arcanine,Iron Bundle,44.046%
Gholdengo,Iron Bundle,41.546%
Gholdengo,Great Tusk,32.249%
Gholdengo,Flutter Mane,31.450%
Roaring Moon,Iron Hands,46.216%
Roaring Moon,Flutter Mane,43.453%
Roaring Moon,Amoonguss,39.851%
Kingambit,Flutter Mane,61.237%
Kingambit,Iron Bundle,39.004%
Kingambit,Great Tusk,31.982%
Dragonite,Flutter Mane,56.026%
Dragonite,Iron Bundle,38.723%
Dragonite,Great Tusk,31.042%
Dondozo,Tatsugiri,90.433%
Dondozo,Flutter Mane,58.395%
Dondozo,Gholdengo,30.766%
Armarouge,Indeedee-F,78.279%
Armarouge,Flutter Mane,39.623%
Armarouge,Iron Hands,31.404%
Indeedee-F,Armarouge,78.806%
Indeedee-F,Flutter Mane,40.499%
Indeedee-F,Iron Hands,31.289%
Tatsugiri,Dondozo,93.302%
Tatsugiri,Flutter Mane,57.845%
Tatsugiri,Gholdengo,31.197%
Maushold,Iron Bundle,46.411%
Maushold,Flutter Mane,42.497%
Maushold,Annihilape,41.498%
Talonflame,Great Tusk,65.635%
Talonflame,Iron Bundle,62.023%
Talonflame,Flutter Mane,58.421%
Brute Bonnet,Flutter Mane,48.287%
Brute Bonnet,Iron Hands,28.642%
Brute Bonnet,Great Tusk,27.807%
Tyranitar,Flutter Mane,60.525%
Tyranitar,Iron Bundle,54.620%
Tyranitar,Great Tusk,46.553%
Annihilape,Maushold,53.253%
Annihilape,Iron Bundle,38.489%
Annihilape,Flutter Mane,36.379%
Palafin,Amoonguss,60.194%
Palafin,Iron Hands,54.313%
Palafin,Flutter Mane,49.551%
Torkoal,Flutter Mane,53.442%
Torkoal,Indeedee-F,38.333%
Torkoal,Armarouge,36.470%
Iron Moth,Flutter Mane,69.634%
Iron Moth,Dondozo,48.251%
Iron Moth,Tatsugiri,47.947%
Gothitelle,Flutter Mane,72.673%
Gothitelle,Iron Bundle,40.969%
Gothitelle,Great Tusk,35.003%
Volcarona,Iron Bundle,40.253%
Volcarona,Flutter Mane,36.190%
Volcarona,Amoonguss,29.932%
Garganacl,Iron Bundle,51.709%
Garganacl,Iron Hands,49.435%
Garganacl,Flutter Mane,47.786%
Sylveon,Iron Hands,34.672%
Sylveon,Iron Bundle,30.806%
Sylveon,Arcanine,30.795%
Murkrow,Flutter Mane,55.438%
Murkrow,Great Tusk,38.723%
